timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
303,1.0,-0.7,-1.1427768,0.0095,14.0,48.485714,0.0,15.0,1697.0,322.0,1.0,166.84767,90.0,71,17,11,11,11,11,11,10,10,13
304,1.0,-0.7,-1.1514888,0.0084,14.0,46.17143,0.0,13.0,1616.0,322.0,1.0,167.87567,30.0,62,17,12,11,10,11,10,10,11,13
305,1.0,-0.7,-1.1524282,0.0068,14.0,44.485714,0.0,10.0,1557.0,322.0,1.0,167.98653,10.0,48,17,9,11,9,11,10,10,13,13
306,1.0,-0.7,-1.1184039,0.0163,14.0,47.2,0.0,29.0,1652.0,322.0,1.0,163.97166,10.0,80,17,10,11,10,11,10,10,11,13
307,1.0,-0.7,-1.1169966,0.0118,14.0,46.914288,0.0,20.0,1642.0,322.0,1.0,163.8056,10.0,76,17,13,11,10,11,11,10,11,13
308,-0.03500001,-0.7,-1.1340966,0.0207,14.0,49.057144,0.0,37.0,1717.0,322.0,1.0,165.8234,10.0,78,17,9,11,10,11,9,10,14,13
309,-0.40000004,-0.7,-1.1654865,0.028,14.0,47.62857,0.0,143.0,1667.0,322.0,1.0,169.5274,10.0,81,17,10,11,10,11,12,10,11,13
310,-0.41000003,-0.7,-1.175439,0.0282,14.0,48.485714,0.0,121.0,1697.0,322.0,1.0,170.7018,50.0,79,17,13,11,11,11,12,10,12,13
311,-0.38,-0.7,-1.1472372,0.0276,14.0,47.057144,0.0,134.0,1647.0,322.0,1.0,167.374,10.0,80,17,11,11,9,11,9,10,14,13
312,-0.41500002,-0.7,-1.1521051,0.0283,14.0,49.857143,0.0,80.0,1745.0,324.0,1.0,167.9484,90.0,79,17,10,11,13,11,12,10,10,13
313,-0.40500003,-0.7,-1.1820898,0.0281,14.0,48.028572,0.0,83.0,1681.0,323.0,1.0,171.4866,30.0,80,17,14,11,11,11,13,10,11,13
314,-0.43999997,-0.7,-1.1870621,0.0288,14.0,47.885715,0.0,67.0,1676.0,323.0,1.0,172.07333,70.0,79,17,9,11,9,11,9,10,16,13
315,-0.40500003,-0.7,-1.1729819,0.0281,14.0,48.885715,0.0,62.0,1711.0,323.0,1.0,170.41187,10.0,78,17,11,11,13,11,12,10,11,13
316,1.0,-0.7,-1.1577643,0.0094,14.0,45.8,0.0,15.0,1603.0,322.0,1.0,168.6162,10.0,72,17,13,11,11,11,11,10,11,13
317,1.0,-0.7,-1.1536994,0.0164,14.0,44.685715,0.0,28.0,1564.0,322.0,1.0,168.13654,10.0,78,17,9,11,8,11,9,10,14,13
318,-0.425,-0.7,-1.1749187,0.0285,14.0,45.514286,0.0,126.0,1593.0,322.0,1.0,170.6404,30.0,79,17,9,11,11,11,10,10,11,13
319,-0.40000004,-0.7,-1.162378,0.028,14.0,46.37143,0.0,92.0,1623.0,322.0,1.0,169.1606,90.0,80,17,12,11,11,11,13,10,10,13
