timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
319,-0.39499995,-0.7,-1.1683807,0.0279,14.0,45.62857,0.0,92.0,1597.0,324.0,1.0,169.86893,90.0,84,16,8,11,10,11,10,10,11,13
320,-0.38999996,-0.7,-1.1649729,0.0278,14.0,47.4,0.0,124.0,1659.0,324.0,1.0,169.4668,30.0,85,16,11,11,10,10,9,10,11,13
321,-0.40500003,-0.7,-1.1691079,0.0281,14.0,48.114285,0.0,142.0,1684.0,324.0,1.0,169.95473,70.0,77,17,11,11,10,10,12,10,12,13
322,-0.40000004,-0.7,-1.1605366,0.028,14.0,46.342857,0.0,70.0,1622.0,324.0,1.0,168.94333,50.0,80,17,8,11,10,10,10,10,11,13
323,-0.40500003,-0.7,-1.154982,0.0281,14.0,46.45714,0.0,91.0,1626.0,324.0,1.0,168.28787,30.0,85,17,11,11,10,10,8,10,12,13
324,1.0,-0.7,-1.1694407,0.0176,14.0,47.2,0.0,30.0,1652.0,324.0,1.0,169.994,30.0,78,17,11,11,10,10,11,10,12,13
325,-0.41500002,-0.7,-1.1676481,0.0283,14.0,47.74286,0.0,112.0,1671.0,324.0,1.0,169.78247,50.0,78,17,9,11,10,11,10,10,11,13
326,-0.39499995,-0.7,-1.1725978,0.0279,14.0,48.54286,0.0,107.0,1699.0,324.0,1.0,170.36653,50.0,80,17,13,11,10,11,8,10,12,13
327,-0.40500003,-0.7,-1.151335,0.0281,14.0,48.37143,0.0,77.0,1693.0,325.0,1.0,167.85753,90.0,79,17,12,11,11,10,12,10,12,13
328,-0.40000004,-0.7,-1.1714249,0.028,14.0,47.971428,0.0,122.0,1679.0,324.0,1.0,170.22813,30.0,79,17,8,11,11,10,11,10,11,13
329,-0.38,-0.7,-1.1411107,0.0276,14.0,48.485714,0.0,53.0,1697.0,324.0,1.0,166.65106,90.0,82,17,11,11,10,10,10,10,11,13
