timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
156,1.0,-2.6,-0.7525208,0.0147,52.0,38.653847,0.0,9.0,5025.0,1125.0,1.0,120.797455,10.0
157,1.0,-2.6,-0.7960411,0.0138,52.0,42.23077,0.0,7.0,5490.0,1126.0,1.0,125.932846,50.0
158,1.0,-2.6,-0.5692068,0.0118,52.0,15.161538,0.0,2.0,1971.0,1126.0,1.0,99.1664,10.0
159,1.0,-2.6,-0.77638733,0.0127,52.0,27.353846,0.0,4.0,3556.0,1126.0,1.0,123.61371,10.0
160,1.0,-2.6,-0.716217,0.0122,52.0,22.123077,0.0,3.0,2876.0,1125.0,1.0,116.5136,70.0
161,1.0,-2.6,-0.6110891,0.0153,52.0,21.069231,0.0,11.0,2739.0,1125.0,1.0,104.10851,10.0
162,1.0,-2.6,-0.7130729,0.0121,52.0,22.015385,0.0,3.0,2862.0,1126.0,1.0,116.1426,90.0
163,1.0,-2.6,-0.7817652,0.0126,52.0,28.115385,0.0,4.0,3655.0,1125.0,1.0,124.2483,90.0
164,1.0,-2.6,-0.77442557,0.0127,52.0,28.330769,0.0,4.0,3683.0,1125.0,1.0,123.38222,10.0
165,1.0,-2.6,-0.8731983,0.0134,52.0,39.053844,0.0,6.0,5077.0,1125.0,1.0,135.0374,30.0
166,1.0,-2.05,-0.59826976,0.0147,41.0,36.192307,0.0,9.0,4705.0,1127.0,1.0,102.59583,50.0
167,1.0,-2.05,-0.8425574,0.0137,41.0,47.79512,0.0,6.0,4899.0,895.0,1.0,131.42177,90.0
168,1.0,-2.05,-0.6971141,0.0123,41.0,27.882927,0.0,3.0,2858.0,894.0,1.0,114.25947,70.0
169,1.0,-2.05,-0.8219915,0.0132,41.0,42.009758,0.0,5.0,4306.0,894.0,1.0,128.995,50.0
170,1.0,-2.05,-0.57857853,0.0119,41.0,19.034147,0.0,2.0,1951.0,894.0,1.0,100.27227,30.0
171,-0.13500002,-3.8,-0.3531246,0.0227,76.0,5.545946,0.0,35.0,1026.0,1588.0,1.0,73.6687,90.0
172,1.0,-3.8,-0.773941,0.0126,76.0,19.06842,0.0,4.0,3623.0,1630.0,1.0,123.325035,50.0
173,1.0,-3.8,-0.77220225,0.0127,76.0,18.947369,0.0,4.0,3600.0,1630.0,1.0,123.119865,50.0
174,1.0,-3.8,-0.78335845,0.0125,76.0,19.268421,0.0,4.0,3661.0,1630.0,1.0,124.436295,10.0
175,1.0,-3.8,-0.83219045,0.0129,76.0,23.263159,0.0,5.0,4420.0,1630.0,1.0,130.19847,10.0
176,1.0,-2.25,-0.57156307,0.0144,45.0,20.173685,0.0,9.0,3833.0,1630.0,1.0,99.44444,10.0
177,1.0,-2.25,-0.6953774,0.0145,45.0,39.377777,0.0,8.0,4430.0,979.0,1.0,114.054535,30.0
178,1.0,-2.25,-0.8373082,0.0141,45.0,41.45778,0.0,7.0,4664.0,979.0,1.0,130.80237,10.0
179,1.0,-2.25,-0.61311126,0.0152,45.0,40.622223,0.0,10.0,4570.0,979.0,1.0,104.34713,30.0
180,1.0,-2.25,-0.81055087,0.0135,45.0,44.97778,0.0,6.0,5060.0,979.0,1.0,127.645004,10.0
181,-0.34500003,-2.25,-0.20500623,0.0269,45.0,28.533333,0.0,47.0,3210.0,982.0,1.0,56.190735,90.0
182,1.0,-2.25,-0.86416316,0.0136,45.0,44.24889,0.0,6.0,4978.0,978.0,1.0,133.97125,30.0
183,1.0,-2.25,-0.5946305,0.0149,45.0,41.43111,0.0,9.0,4661.0,980.0,1.0,102.1664,10.0
184,1.0,-2.25,-0.85965264,0.0136,45.0,43.795555,0.0,6.0,4927.0,979.0,1.0,133.43901,70.0
185,1.0,-2.25,-0.59271306,0.0149,45.0,41.546665,0.0,9.0,4674.0,978.0,1.0,101.94014,50.0
186,1.0,-2.25,-0.4791601,0.0159,45.0,40.32,0.0,13.0,4536.0,980.0,1.0,88.54089,90.0
187,-0.004999969,-2.25,-0.33564007,0.0201,45.0,29.715555,0.0,27.0,3343.0,980.0,1.0,71.60553,70.0
188,1.0,-2.0,-0.3761145,0.0199,40.0,38.27,0.0,25.0,3827.0,874.0,1.0,76.38151,90.0
