timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
156,1.0,-2.45,-0.70747894,0.0149,49.0,30.032654,0.0,9.0,3679.0,1065.0,1.0,115.48251,10.0
157,1.0,-2.45,-0.8747795,0.0139,49.0,44.922447,0.0,7.0,5503.0,1065.0,1.0,135.22398,50.0
158,1.0,-2.45,-0.58477986,0.0118,49.0,16.22857,0.0,2.0,1988.0,1065.0,1.0,101.00402,10.0
159,1.0,-2.45,-0.7859136,0.0126,49.0,29.24898,0.0,4.0,3583.0,1066.0,1.0,124.7378,10.0
160,1.0,-2.45,-0.71583617,0.0121,49.0,23.542856,0.0,3.0,2884.0,1065.0,1.0,116.468666,70.0
161,1.0,-2.8,-0.5346949,0.0152,56.0,16.664286,0.0,11.0,2333.0,1213.0,1.0,95.094,10.0
162,1.0,-2.8,-0.71669155,0.0121,56.0,20.671429,0.0,3.0,2894.0,1212.0,1.0,116.5696,90.0
163,1.0,-2.8,-0.78637564,0.0126,56.0,26.242857,0.0,4.0,3674.0,1212.0,1.0,124.79233,90.0
164,1.0,-2.8,-0.7875017,0.0126,56.0,26.221428,0.0,4.0,3671.0,1212.0,1.0,124.9252,10.0
165,1.0,-2.8,-0.86873305,0.0134,56.0,36.12143,0.0,6.0,5057.0,1212.0,1.0,134.5105,30.0
166,1.0,-2.1,-0.58898306,0.0147,42.0,32.514286,0.0,9.0,4552.0,1212.0,1.0,101.5,50.0
167,1.0,-2.1,-0.85193247,0.0136,42.0,47.314285,0.0,6.0,4968.0,917.0,1.0,132.52803,90.0
168,1.0,-2.1,-0.709912,0.0123,42.0,27.028572,0.0,3.0,2838.0,917.0,1.0,115.769615,70.0
169,1.0,-2.1,-0.8334352,0.0132,42.0,41.0,0.0,5.0,4305.0,917.0,1.0,130.34535,50.0
170,1.0,-2.1,-0.5671369,0.0119,42.0,18.685715,0.0,2.0,1962.0,917.0,1.0,98.92215,30.0
171,-0.12500004,-3.8,-0.23632964,0.0225,76.0,9.219048,0.0,35.0,1452.0,1357.0,1.0,59.886898,90.0
172,1.0,-3.8,-0.75896156,0.0125,76.0,19.126316,0.0,4.0,3634.0,1631.0,1.0,121.557465,50.0
173,1.0,-3.8,-0.7824181,0.0126,76.0,19.336842,0.0,4.0,3674.0,1631.0,1.0,124.32533,50.0
174,1.0,-3.8,-0.78353953,0.0126,76.0,19.036842,0.0,4.0,3617.0,1631.0,1.0,124.457664,10.0
175,1.0,-3.8,-0.8308214,0.0129,76.0,22.968422,0.0,5.0,4364.0,1631.0,1.0,130.03693,10.0
176,1.0,-2.45,-0.6175588,0.0144,49.0,22.089474,0.0,9.0,4197.0,1631.0,1.0,104.87193,10.0
177,1.0,-2.45,-0.71369326,0.0143,49.0,32.465305,0.0,8.0,3977.0,1064.0,1.0,116.215805,30.0
