timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
83,-0.51000005,-1.7,-1.3878063,0.0302,34.0,32.64706,0.0,135.0,2775.0,738.0,1.0,195.76114,30.0,84,10,<unknown>,<unknown>,15,5,15,4
84,-0.52000004,-1.7,-1.4140248,0.0304,34.0,32.058823,0.0,128.0,2725.0,738.0,1.0,198.85493,30.0,83,10,<unknown>,<unknown>,15,5,15,4
85,-0.535,-1.7,-1.3487141,0.0307,34.0,37.294117,0.0,128.0,3170.0,738.0,1.0,191.14827,70.0,83,10,<unknown>,<unknown>,15,5,17,4
86,-0.535,-1.7,-1.3814017,0.0307,34.0,40.811764,0.0,140.0,3469.0,740.0,1.0,195.0054,90.0,80,10,<unknown>,<unknown>,19,5,19,4
87,-0.52500004,-1.7,-1.3536175,0.0305,34.0,40.658825,0.0,125.0,3456.0,739.0,1.0,191.72687,10.0,78,10,<unknown>,<unknown>,19,5,19,4
88,-0.52000004,-1.7,-1.3779678,0.0304,34.0,44.611763,0.0,133.0,3792.0,739.0,1.0,194.6002,90.0,78,10,<unknown>,<unknown>,20,5,21,4
89,-0.52500004,-1.7,-1.3625441,0.0305,34.0,47.564705,0.0,128.0,4043.0,739.0,1.0,192.7802,10.0,77,10,<unknown>,<unknown>,22,5,23,4
90,-0.52000004,-1.7,-1.3944346,0.0304,34.0,47.57647,0.0,138.0,4044.0,740.0,1.0,196.54327,10.0,74,10,<unknown>,<unknown>,24,5,23,4
91,-0.52500004,-1.7,-1.3911107,0.0305,34.0,48.270588,0.0,155.0,4103.0,740.0,1.0,196.15106,70.0,75,10,<unknown>,<unknown>,23,5,25,4
92,-0.53000003,-1.7,-1.4277768,0.0306,34.0,49.294117,0.0,207.0,4190.0,742.0,1.0,200.47766,90.0,73,10,<unknown>,<unknown>,26,5,27,4
93,-0.53000003,-1.7,-1.3989588,0.0306,34.0,50.164707,0.0,255.0,4264.0,740.0,1.0,197.07713,10.0,70,10,<unknown>,<unknown>,27,5,27,4
94,-0.535,-1.7,-1.5316395,0.0307,34.0,50.35294,0.0,262.0,4280.0,740.0,1.0,212.73346,90.0,70,10,<unknown>,<unknown>,28,5,26,4
95,-0.52500004,-1.7,-1.4795972,0.0305,34.0,48.411766,0.0,207.0,4115.0,742.0,1.0,206.59247,90.0,71,10,<unknown>,<unknown>,26,5,27,4
96,-0.52500004,-1.7,-1.5467995,0.0305,34.0,49.89412,0.0,142.0,4241.0,743.0,1.0,214.52234,10.0,70,10,<unknown>,<unknown>,27,5,27,4
97,-0.53000003,-1.7,-1.5531474,0.0306,34.0,50.8,0.0,65.0,4318.0,741.0,1.0,215.2714,10.0,71,10,<unknown>,<unknown>,28,5,25,4
98,1.0,-2.1000001,-1.8362955,0.0194,42.0,62.666668,0.0,20.0,5640.0,783.0,1.0,248.68286,30.0,49,10,<unknown>,<unknown>,34,5,35,4
99,1.0,-2.1000001,-1.82167,0.0189,42.0,50.161903,0.0,21.0,5267.0,906.0,1.0,246.95706,90.0,52,10,<unknown>,<unknown>,34,5,34,5
100,-0.40000007,-2.1000001,-1.5632006,0.028,42.0,36.25714,0.0,65.0,3807.0,910.0,1.0,216.45767,50.0,78,10,<unknown>,<unknown>,21,5,24,5
101,-0.39499998,-2.1000001,-1.5635452,0.0279,42.0,39.54286,0.0,54.0,4152.0,911.0,1.0,216.49834,30.0,74,10,<unknown>,<unknown>,27,5,32,5
102,-0.40000007,-2.1000001,-1.4657419,0.028,42.0,38.74286,0.0,103.0,4068.0,912.0,1.0,204.95753,50.0,68,10,<unknown>,<unknown>,31,5,23,5
103,-0.40000007,-2.1000001,-1.5227039,0.028,42.0,38.761906,0.0,114.0,4070.0,911.0,1.0,211.67906,10.0,78,10,<unknown>,<unknown>,21,5,21,5
104,-0.41000006,-2.1000001,-1.4651525,0.0282,42.0,39.038094,0.0,118.0,4099.0,912.0,1.0,204.888,70.0,75,10,<unknown>,<unknown>,25,5,31,5
