timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
68,-0.445,-1.95,-1.2251141,0.0289,39.0,33.384617,0.0,149.0,3255.0,828.0,1.0,176.56346,10.0,66,9,<unknown>,<unknown>,21,5,24,4
69,-0.45500007,-1.95,-1.3194424,0.0291,39.0,32.471794,0.0,128.0,3166.0,823.0,1.0,187.6942,30.0,74,9,<unknown>,<unknown>,21,5,28,4
70,-0.445,-1.95,-1.265961,0.0289,39.0,29.015385,0.0,130.0,2829.0,825.0,1.0,181.3834,90.0,72,9,<unknown>,<unknown>,17,5,18,4
71,-0.45,-1.95,-1.3297429,0.029,39.0,27.476923,0.0,126.0,2679.0,825.0,1.0,188.90967,70.0,68,9,<unknown>,<unknown>,17,5,18,4
72,-0.45500007,-1.95,-1.2857627,0.0291,39.0,23.753845,0.0,123.0,2316.0,827.0,1.0,183.72,70.0,79,9,<unknown>,<unknown>,17,5,21,4
73,-0.505,-1.75,-1.3563634,0.0301,35.0,24.297142,0.0,123.0,2126.0,745.0,1.0,192.05089,30.0,77,9,<unknown>,<unknown>,15,5,12,4
74,-0.52000004,-1.75,-1.3221745,0.0304,35.0,22.822857,0.0,125.0,1997.0,743.0,1.0,188.0166,10.0,75,9,<unknown>,<unknown>,14,5,10,4
75,-0.52500004,-1.75,-1.3777423,0.0305,35.0,22.857143,0.0,133.0,2000.0,741.0,1.0,194.5736,10.0,87,9,<unknown>,<unknown>,14,5,13,4
76,-0.51000005,-1.75,-1.3486362,0.0302,35.0,22.54857,0.0,135.0,1973.0,743.0,1.0,191.13907,30.0,87,9,<unknown>,<unknown>,12,5,10,4
77,-0.52000004,-1.75,-1.3903062,0.0304,35.0,25.234285,0.0,136.0,2208.0,743.0,1.0,196.05614,70.0,84,9,<unknown>,<unknown>,12,5,6,4
78,-0.52500004,-1.75,-1.363839,0.0305,35.0,25.668571,0.0,131.0,2246.0,742.0,1.0,192.933,50.0,92,9,<unknown>,<unknown>,12,5,8,4
79,-0.52000004,-1.75,-1.396017,0.0304,35.0,25.154285,0.0,140.0,2201.0,745.0,1.0,196.73,90.0,92,9,<unknown>,<unknown>,12,5,9,4
80,-0.51000005,-1.75,-1.358414,0.0302,35.0,27.428572,0.0,123.0,2400.0,743.0,1.0,192.29286,10.0,88,9,<unknown>,<unknown>,13,5,6,4
81,-0.51500005,-1.75,-1.3976824,0.0303,35.0,32.48,0.0,83.0,2842.0,744.0,1.0,196.92653,30.0,92,9,<unknown>,<unknown>,15,5,12,4
82,-0.52000004,-1.75,-1.3696339,0.0304,35.0,36.342857,0.0,59.0,3180.0,743.0,1.0,193.6168,70.0,91,9,<unknown>,<unknown>,15,5,15,4
83,-0.505,-1.75,-1.4027413,0.0301,35.0,34.61714,0.0,135.0,3029.0,744.0,1.0,197.52347,30.0,81,9,<unknown>,<unknown>,17,5,12,4
84,-0.52000004,-1.75,-1.3742887,0.0304,35.0,39.234287,0.0,128.0,3433.0,745.0,1.0,194.16606,30.0,85,9,<unknown>,<unknown>,17,5,17,4
85,-0.51000005,-1.75,-1.4001039,0.0302,35.0,26.045713,0.0,128.0,2279.0,749.0,1.0,197.21227,70.0,85,9,<unknown>,<unknown>,11,5,15,4
86,-0.5,-1.75,-1.3648492,0.03,35.0,23.885714,0.0,140.0,2090.0,750.0,1.0,193.0522,90.0,92,9,<unknown>,<unknown>,10,5,13,4
87,-0.51500005,-1.75,-1.432969,0.0303,35.0,24.137142,0.0,125.0,2112.0,750.0,1.0,201.09033,10.0,90,9,<unknown>,<unknown>,14,5,13,4
88,-0.51500005,-1.75,-1.4172355,0.0303,35.0,26.068571,0.0,133.0,2281.0,749.0,1.0,199.2338,90.0,88,9,<unknown>,<unknown>,6,5,12,4
89,-0.51000005,-1.75,-1.4401672,0.0302,35.0,27.257143,0.0,128.0,2385.0,749.0,1.0,201.93973,10.0,90,9,<unknown>,<unknown>,6,5,13,4
90,-0.53000003,-1.75,-1.4394481,0.0306,35.0,28.742857,0.0,138.0,2515.0,750.0,1.0,201.85487,10.0,83,9,<unknown>,<unknown>,10,5,13,4
91,-0.51000005,-1.75,-1.5248808,0.0302,35.0,31.165714,0.0,155.0,2727.0,749.0,1.0,211.93593,70.0,81,9,<unknown>,<unknown>,6,5,13,4
92,-0.52000004,-1.75,-1.5028758,0.0304,35.0,36.262856,0.0,207.0,3173.0,751.0,1.0,209.33934,90.0,86,9,<unknown>,<unknown>,9,5,14,4
93,-0.51000005,-1.75,-1.5504898,0.0302,35.0,38.93714,0.0,255.0,3407.0,752.0,1.0,214.9578,10.0,77,9,<unknown>,<unknown>,16,5,15,4
94,-0.52000004,-1.75,-1.5834565,0.0304,35.0,38.8,0.0,262.0,3395.0,753.0,1.0,218.84787,90.0,74,9,<unknown>,<unknown>,14,5,15,4
95,-0.52500004,-1.75,-1.6034276,0.0305,35.0,42.045715,0.0,207.0,3679.0,750.0,1.0,221.20447,90.0,77,9,<unknown>,<unknown>,16,5,18,4
96,-0.52500004,-1.75,-1.6176932,0.0305,35.0,44.045715,0.0,142.0,3854.0,751.0,1.0,222.8878,10.0,70,9,<unknown>,<unknown>,24,5,19,4
97,-0.52500004,-1.75,-1.6598632,0.0305,35.0,45.58857,0.0,65.0,3989.0,753.0,1.0,227.86386,10.0,68,9,<unknown>,<unknown>,24,5,19,4
98,1.0,-2.1000001,-1.9037108,0.0196,42.0,61.06286,0.0,20.0,5343.0,754.0,1.0,256.63788,30.0,52,9,<unknown>,<unknown>,34,5,38,4
99,1.0,-2.1000001,-1.862265,0.0189,42.0,50.885715,0.0,21.0,5343.0,899.0,1.0,251.74727,90.0,45,9,<unknown>,<unknown>,34,5,34,4
100,-0.40500006,-2.1000001,-1.5353571,0.0281,42.0,39.62857,0.0,65.0,4161.0,902.0,1.0,213.17213,50.0,70,9,<unknown>,<unknown>,25,5,22,4
